#;Name;HP;Attack;Defense;Sp. Atk;Sp. Def;Speed;Generation;Legendary
1;Bulbasaur;45;49;49;65;65;45;1;False
2;Ivysaur;60;62;63;80;80;60;1;False
3;Venusaur;80;82;83;100;100;80;1;False
3;VenusaurMega Venusaur;80;100;123;122;120;80;1;False
4;Charmander;39;52;43;60;50;65;1;False
5;Charmeleon;58;64;58;80;65;80;1;False
6;Charizard;78;84;78;109;85;100;1;False
6;CharizardMega Charizard X;78;130;111;130;85;100;1;False
6;CharizardMega Charizard Y;78;104;78;159;115;100;1;False
7;Squirtle;44;48;65;50;64;43;1;False
8;Wartortle;59;63;80;65;80;58;1;False
9;Blastoise;79;83;100;85;105;78;1;False
9;BlastoiseMega Blastoise;79;103;120;135;115;78;1;False
10;Caterpie;45;30;35;20;20;45;1;False
11;Metapod;50;20;55;25;25;30;1;False
12;Butterfree;60;45;50;90;80;70;1;False
13;Weedle;40;35;30;20;20;50;1;False
14;Kakuna;45;25;50;25;25;35;1;False
15;Beedrill;65;90;40;45;80;75;1;
15;BeedrillMega Beedrill;65;150;40;15;80;145;1;
16;Pidgey;40;45;40;35;35;56;1;
17;Pidgeotto;63;60;55;50;50;71;1;
18;Pidgeot;83;80;75;70;70;101;1;
18;PidgeotMega Pidgeot;83;80;80;135;80;121;1;
19;Rattata;30;56;35;25;35;72;1;
20;Raticate;55;81;60;50;70;97;1;
21;Spearow;40;60;30;31;31;70;1;
22;Fearow;65;90;65;61;61;100;1;
23;Ekans;35;60;44;40;54;55;1;False
24;Arbok;60;85;69;65;79;80;1;False
25;Pikachu;35;55;40;50;50;90;1;False
26;Raichu;60;90;55;90;80;110;1;False
27;Sandshrew;50;75;85;20;30;40;1;False
28;Sandslash;75;100;110;45;55;65;1;False
29;Nidoran♀;55;47;52;40;40;41;1;False
30;Nidorina;70;62;67;55;55;56;1;False
31;Nidoqueen;90;92;87;75;85;76;1;False
32;Nidoran♂;46;57;40;40;40;50;1;False
33;Nidorino;61;72;57;55;55;65;1;False
34;Nidoking;81;102;77;85;75;85;1;False
35;Clefairy;70;45;48;60;65;35;1;False
36;Clefable;95;70;73;95;90;60;1;False
37;Vulpix;38;41;40;50;65;65;1;False
38;Ninetales;73;76;75;81;100;100;1;False
39;Jigglypuff;115;45;20;45;25;20;1;False
